t,t_global,regime,switch,a,pi_max,entropy,margin,zone_id,x,y,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
197,196,0,0,3,0.992620050907135,0.05309480428695679,0.9897365570068359,2,14,7,-0.7300936579704285,0.03440888971090317,-0.02285279519855976,0.6295556426048279,-0.9474906921386719,0.1307196170091629,0.6219735741615295,-0.9624547958374023,0.5834401845932007,1.2585893869400024,-0.48029521107673645,-0.0020848496351391077
198,197,0,0,3,0.9815794229507446,0.11587168276309967,0.9743053913116455,2,14,7,-0.7339579463005066,0.034805748611688614,-0.021888557821512222,0.629845380783081,-0.9474102258682251,0.13115572929382324,0.6226537227630615,-0.9621981382369995,0.5820019841194153,1.2576756477355957,-0.47868070006370544,-0.001502834027633071
199,198,0,0,3,0.9901701807975769,0.06795103847980499,0.9863097667694092,2,14,7,-0.7324119806289673,0.03472790867090225,-0.022220149636268616,0.629624605178833,-0.9475394487380981,0.13097693026065826,0.6223417520523071,-0.9623674154281616,0.5826764106750488,1.2580633163452148,-0.47925785183906555,-0.0017850394360721111
200,199,0,0,3,0.9736667275428772,0.15621650218963623,0.963313102722168,2,14,7,-0.739534854888916,0.035726673901081085,-0.019287578761577606,0.6270925998687744,-0.9473360776901245,0.1311262547969818,0.6236644983291626,-0.9618200063705444,0.5815874934196472,1.25734281539917,-0.4761173725128174,-0.001253623515367508
201,200,0,0,3,0.9879420399665833,0.08088474720716476,0.9830926656723022,2,14,7,-0.7394531965255737,0.035378485918045044,-0.02002534456551075,0.6296729445457458,-0.9473287463188171,0.1319844126701355,0.6233865022659302,-0.9618107676506042,0.580055832862854,1.256481409072876,-0.4766135811805725,-0.0006067135254852474
202,201,0,0,3,0.9816185832023621,0.11567306518554688,0.9744260311126709,2,14,7,-0.7437659502029419,0.0363103486597538,-0.017601337283849716,0.6261570453643799,-0.9472343921661377,0.13166336715221405,0.6243306994438171,-0.9615128636360168,0.5805313587188721,1.2564493417739868,-0.4747233986854553,-0.0005232822149991989
203,202,0,0,3,0.9890238046646118,0.0746699869632721,0.9846726059913635,2,14,7,-0.7429968118667603,0.036172036081552505,-0.018005385994911194,0.6270416975021362,-0.9473302960395813,0.13186310231685638,0.6240032315254211,-0.9616076350212097,0.580306887626648,1.2563492059707642,-0.4751899838447571,-0.0003996093582827598
204,203,0,0,3,0.9924271106719971,0.05428446829319,0.9894297122955322,2,14,7,-0.738467276096344,0.03543762490153313,-0.019638875499367714,0.6282562613487244,-0.9473603367805481,0.1317562311887741,0.6230505704879761,-0.9618983268737793,0.5812055468559265,1.256940484046936,-0.4772421419620514,-0.0007635987130925059
205,204,0,0,3,0.9934258460998535,0.048030249774456024,0.9908227324485779,2,14,7,-0.7309996485710144,0.03387950360774994,-0.0225822813808918,0.6318346261978149,-0.9474939703941345,0.1319158971309662,0.6211146712303162,-0.9623445868492126,0.5814285278320312,1.2579163312911987,-0.48043543100357056,-0.0011462364345788956
206,205,0,0,3,0.981515645980835,0.11618213355541229,0.9741796255111694,2,14,7,-0.7358916997909546,0.0345250628888607,-0.020804401487112045,0.6307545900344849,-0.9473058581352234,0.13206031918525696,0.6221079230308533,-0.961950957775116,0.5806103944778442,1.2569873332977295,-0.4784417450428009,-0.0007100392249412835
